abandon	əˈbændən	vt.丢弃；放弃，抛弃	1			
ability	əˈbiliti	n.能力；能耐，本领	2	hab		
abnormal	æbˈnɔːməl	a.不正常的；变态的	1	norm		
aboard	əˈbɔːd	ad.在船(车)上；上船	2			
abroad	əˈbrɔːd	ad.(在)国外；到处	2			
absence	ˈæbsəns	n.缺席，不在场；缺乏	1			
absent	ˈæbsənt	a.不在场的；缺乏的	2			
absolute	ˈæbsəluːt	a.绝对的；纯粹的	2	solv		
absorb	əbˈsɔːb	vt.吸收；使专心	2			
abstract	ˈæbstrækt	a.抽象的 n.摘要	1	tract		
abundant	əˈbʌndənt	a.丰富的；大量的	1			
abuse	əˈbjuːz	vt.滥用；虐待 n.滥用	1	us		
academic	ˌækəˈdemik	a.学院的；学术的	1			
accelerate	ækˈseləreit	vt.(使)加快；促进	1	celer		
accent	ˈæksənt	n.口音，腔调；重音	2			
accept	əkˈsept	vt.vi.接受；同意	2	cap		
acceptable	əkˈseptəbl	a.可接受/合意的	1	cap		
acceptance	əkˈseptəns	n.接受，验收；承认	1	cap		
access	ˈækses	n.接近；通道，入口	1	ced		
accident	ˈæksidənt	n.意外的；事故	2	cad		
accommodate	əˈkɔmədeit	vt.容纳;供应,供给	1			
accommodation	əˌkɔməˈdei∫ən	n.招待设备；预定铺位	1			
accompany	əˈkʌmpəni	vt.陪伴，陪同；伴随	1			
accomplish	əˈkɔmpli∫	vt.达到(目的)；完成	1	ple		
account	əˈkaunt	n.记述；解释；帐目	2			
accumulate	əˈkjuːmjuleit	vt.积累 vi.堆积	1	cumul		
accuracy	ˈækjurəsi	n.准确(性)；准确度	1	cur		
accurate	ˈækjurit	a.准确的，正确无误的	1	cur		
accuse	əˈkjuːz	vt.指责；归咎于	1	caus		
achieve	əˈt∫iːv	vt.完成，实现；达到	2			
achievement	əˈt∫iːvmənt	n.完成；成就/绩	1			
acid	ˈæsid	n.酸；酸的，酸性的	1			
acquaintance	əˈkweintəns	n.认识;了解;熟人	1	cogn		
acquire	əˈkwaiə	vt.取得；获得；学到	1	quir		
activity	ækˈtiviti	n.活动；活力；行动	2	act		
actual	ˈæktjuəl	a.实际的；现行的	1	act		
actually	ˈækt∫uəli	ad.实际上；竟然	2	act		
acute	əˈkjuːt	a.尖的，锐的；敏锐的	1			
adapt	əˈdæpt	vt.使适应；改编	1			
addition	əˈdi∫ən	n.加，加法；附加物	2			
address	əˈdres	n.地址；演说；谈吐	2			
adequate	ˈædikwit	a.足够的；可以胜任的	1	equ		
adjust	əˈdʒʌst	vt.调整，调节；校正	1	jud		
administration	ədminisˈtrei∫ən	n.管理；管理部门	1			
admission	ədˈmi∫ən	n.允许进入；承认	1	mit		
admit	ədˈmit	vt.承认；准许…进入	1	mit		
adopt	əˈdɔpt	vt.收养；采用；采取	1	opt		
adult	ˈædʌlt	n.成年人 a.成年的	2			
advance	ədˈvɑːns	vi.前进；提高 n.进展	1			
advantage	ədˈvɑːntidʒ	n.优点，优势；好处	1			
adventure	ədˈvent∫ə	n.冒险；惊险活动	1	ven		
advice	ədˈvais	n.劝告；忠告；意见	2	vid		
advise	ədˈvaiz	vt.劝告；建议；通知	1	vid		
affect	əˈfekt	vt.影响；感动	1	fac		
affection	əˈfek∫ən	n.慈爱，爱；爱慕	1	fac		
afford	əˈfɔːd	vt.担负得起…；提供	1			
agent	ˈeidʒənt	n.代理人，代理商	1	act		
aggressive	əˈgresiv	a.侵略的；好斗的	1	grad		
agree	əˈgriː	vi.同意；持相同意见	2	grat		
agriculture	ˈægrikʌlt∫ə	n.农业，农艺；农学	1			
aid	eid	n.帮助，救护；助手	1			
aim	eim	vi.瞄准，针对；致力	2			
alarm	əˈlɑːm	n.惊恐，忧虑；警报	1			
alcohol	ˈælkəhɔl	n.酒精，乙醇	1			
alloy	ˈælɔi	n.合金；(金属的)成色	1			
aloud	əˈlaud	ad.出声地，大声地	2			
alphabet	ˈælfəbit	n.字母表，字母系统	1			
alter	ˈɔːltə	vt.改变，变更；改做	1	alter		
alternative	ɔːlˈtəːnətiv	n.替换物；取舍，抉择	1	alter		
altitude	ˈæltitjuːd	n.高，高度；高处	1			
altogether	ˌɔːltəˈgeðə	ad.完全；总而言之	1			
aluminium	ˌæljuːˈminjəm	n.铝	1			
amaze	əˈmeiz	vt.使惊奇，使惊愕	1			
ambition	æmˈbi∫ən	n.雄心，抱负，野心	1			
ambulance	ˈæmbjuləns	n.救护车；野战医院	1			
amount	əˈmaunt	n.总数；数量；和	2			
amplify	ˈæmplifai	vt.放大，增强；扩大	1	ple		
amuse	əˈmjuːz	vt.逗…乐；给…娱乐	1			
analyse	ˈænəlaiz	vt.分析，分解，解析	1	lys		
analysis	əˈnælisis	n.分析，分解，解析	1	lys		
ancestor	ˈænsistə	n.祖宗，祖先	1	ced		
ancient	ˈein∫ənt	a.古代的，古老的	1			
angle	ˈæŋgl	n.角，角度	1			
announce	əˈnauns	vt.宣布，宣告，发表	1	nounc		
annoy	əˈnɔi	vt.使恼怒；打搅	1			
annual	ˈænjuəl	a.每年的 n.年报	1	ann		
anticipate	ænˈtisipeit	vt.预料，预期，期望	1	cap		
anxiety	æŋˈzaiəti	n.焦虑，忧虑；渴望	1			
anxious	ˈæŋk∫əs	a.忧虑的；渴望的	1			
apparent	əˈpærənt	a.表面上的；明显的	2	par		
appeal	əˈpiːl	vi.&n.呼吁；申述	2			
appearance	əˈpiərəns	n.出现，来到；外观	2	par		
appetite	ˈæpitait	n.食欲，胃口；欲望	2	pet		
appliance	əˈplaiəns	n.用具，器具，器械	1	plic		
application	ˌæpliˈkei∫ən	n.请求，申请；施用	2	plic		
apply	əˈplai	vt.应用，实施，使用	2	plic		
appoint	əˈpɔint	vt.任命，委任；约定	2	punct		
appreciate	əˈpriː∫ieit	vt.欣赏；领会；感谢	2	grat		
approach	əˈprəut∫	vt.向…靠近 n.靠近	2			
appropriate	əˈprəupriit	a.适当的，恰当的	2	propri		
approve	əˈpruːv	vt.赞成，称许；批准	2	prob		
approximate	əˈprɔksimeit	a.近似的 vt.近似	1	proxim		
arbitrary	ˈɑːbitrəri	a.随心所欲的；专断的	1			
architecture	ˈɑːkitekt∫ə	n.建筑学；建筑式样	1	arch	arch,tect	arch(首领)+tect(覆盖)，建筑师即首领之匠
argue	ˈɑːgjuː	vi.争论，争辩，辩论	2			
argument	ˈɑːgjumənt	n.争论，辩论；理由	2			
arise	əˈraiz	vi.出现；由…引起	2			
arouse	əˈrauz	vt.引起，唤起；唤醒	2			
arrange	əˈreindʒ	vt.筹备；整理；调解	2			
arrest	əˈrest	vt.逮捕，拘留；阻止	2			
artificial	ˌɑːtiˈfi∫əl	a.人工的；娇揉造作的	1	fac		
aspect	ˈæspekt	n.方面；样子，外表	1	spec		
assemble	əˈsembl	vt.集合，召集；装配	1	sembl		
assess	əˈses	vt.对(财产等)估价	1	sed		
assign	əˈsain	vt.指派；分配；指定	2	sign		
assist	əˈsist	vt.援助，帮助；搀扶	2	sist		
associate	əˈsəu∫ieit	vi.交往 n.伙伴，同事	2	soci		
assume	əˈsjuːm	vt.假定；承担；呈现	2	sum		
assure	əˈ∫uə	vt.使确信；向…保证	1			
astonish	əsˈtɔni∫	vt.使惊讶，使吃惊	1	ton		
astronaut	ˈæstrənɔːt	n.宇宙航行员，宇航员	1	astro	astro,nav	astro(星)+nav(船)，驾船航星的人
athlete	ˈæθliːt	n.运动员；田径运动员	1			
atmosphere	ˈætməsfiə	n.大气；空气；气氛	2			
atom	ˈætəm	n.原子；微粒；微量	2			
attach	əˈtæt∫	vt.缚，系，贴；附加	2	tach		
attack	əˈtæk	vt.&vi.&n.攻击，进攻	2			
attain	əˈtein	vt.达到，获得，完成	2	tain		
attempt	əˈtempt	vt.尝试，试图 n.企图	2			
attend	əˈtend	vt.出席；照顾，护理	2	tend		
attention	əˈten∫ən	n.注意，留心；注意力	2	tend		
attitude	ˈætitjuːd	n.态度，看法；姿势	2			
attract	əˈtrækt	vt.吸引；引起，诱惑	2	tract		
attribute	əˈtribju(ː)t	vt.把…归因于 n.属性	2	trib		
