# 四级核心词汇 · 标准词根表（分类基准）
# 格式：标准词根 <TAB> 中文含义 <TAB> 常见变体/说明
# 说明：分类时必须优先使用本表中的“标准词根”写法，以保证同一词根的词聚在一起。
# 本表收录的是希腊/拉丁词根（含构词能力强的希腊语素）。前缀、后缀不算词根，
# 但可以出现在批注里（如 trans(越过)+fer(携带)）。

### 第三轮补充 ###
rat	计算，推理	rati
rot	转，轮	rotat
urg	推，催；急	urg
ac	尖，锐；酸	acr, acid
agr	田地，农业	agri
alt	高	alti
ambul	走	ambulat
apt	适合，适应	apt
art	技艺，人工	arti
band	捆绑，束缚	bond, bound
bar	棒，栏，障碍	barr
bat	打，击	batt
calc	石子；计算	calcul
camp	田野，场地	campus
car	车；装载	carr, cargo, char
cart	纸，图	chart
cav	洞，空	cav
chem	化学	chemi
col	居住，耕作	colon
cult	耕作，培养	cultiv
fal	错误，欺骗	fail, fals, fault
ministr	服务，管理	minister
mount	山；上升	mont
sorb	吸，收	sorpt
spher	球，球体	sphere
tom	切，割	atomy

### 补充词根（第二轮补充，覆盖面更广） ###
ang	角；痛苦，窒息	anch
avi	鸟	avis
bacter	细菌	bacteri
caus	原因；案件	cus
clin	倾斜，倾向	clim
commod	方便，合适	commod
cor	心	cord, cour
cumul	堆积	cumul
dam	损害，损失	demn
dign	值得，尊贵	digni
divid	分	divis
fend	打击	fens
fict	虚构，捏造	fig
front	前额，前面	front
her	粘，附	hes
horr	战栗，害怕	horr
hum	土；人	human
insul	岛	insular
it	走	itiner
laps	滑，落	laps
lat	带，拿；边	lat
leg	法律	legis
lig	捆绑	ligat
long	长	longi
lustr	照亮，光	illustr
lys	松开，分解	lyt
mand	命令	mandat
mens	测量	mens
merc	商业，交易	merch
mir	惊奇，看	mira
mod	方式，尺度	mod
mut	改变	mutat
nect	连接	nex
norm	标准，规范	norm
ori	升起，开始	origin
pand	展开，伸展	pans
pati	忍受，痛苦	pass
pict	画，描绘	pict
proxim	最近的	proxim
pur	纯	pur
put	计算，思考	comput
radi	光线，辐射	radi
san	健康	sanat
sat	足够	satur
ton	雷声，声音	ton
und	波浪，涌	ound
us	使用	ut
vant	前，先	van
### 希腊语素 / 常用组合词根 ###
auto	自己，自动	auto
aer	空气	aero
cardi	心	cardio
ident	相同	identi
integr	完整	integr
lith	石	litho
macro	大	macro
micro	小	micro
milit	士兵，军事	milit
mono	单一	mon
nav	船	navi
neur	神经	neuro
null	无	nulli
numer	数字	numer
omni	全，都	omni
pan	全，泛	pan
pen	惩罚	pun
polit	城市，政治	politi
poly	多	poly
proto	原始	proto
pseudo	假，伪	pseudo
syn	共同，一起	sym
techn	技术，技艺	techno

### 拉丁词根 ###
act	做，行动	ag, agit
alter	其他，改变	altr, ali
anim	生命，精神	anima
ann	年	enn
aqu	水	aqua
arch	首领，统治	archi
astro	星	aster
aud	听	audi, audit
bibli	书	biblio
bio	生命	bi
brev	短	brief
cad	落下，降临	cas, cid
cand	白，发光	cend
cap	拿，取，抓	capt, cept, cip, ceiv
capit	头，首	cap
carn	肉	carni
ced	走，让	ceed, cess
celer	快	celer
cent	百	centi
cern	区分，筛选	cret, crim
chron	时间	chrono
cid	切，杀	cis
circ	圆，环	cycl
cit	引用，唤起	citat
civ	公民，市民	civil
claim	喊，叫	clam
clar	清楚	clare
clud	关闭	clus, clos
cogn	知道	gnos
corp	身体	corpor
cosm	宇宙，秩序	cosmo
crat	统治	cracy
cred	相信	credit
creas	增长	cresc, cret
culp	罪，过失	culp
cur	跑，流	curs, cours
cura	关心，照料	cur
dem	人民	demo
dent	牙	denti
derm	皮肤	derma
dic	说	dict
doc	教	doct
domin	主人，支配	dominan
don	给	dot, dat
dorm	睡	dormi
duc	引导	duct
dur	持久，硬	dur
dynam	力量	dyn, dynamo
equ	相等	equi
err	漫游，错误	erra
fac	做，造	fact, fect, fic, feas
fer	带来，拿	ferr
fid	信任	fide
fin	结束，界限	fine
firm	坚固	firma
flect	弯曲	flex
flor	花	flour
flu	流	flux
form	形状	forma
fort	强	forc
frag	破碎	fract
fug	逃	fugit
fund	基础，底	found
fus	倾倒，融	fund
gen	产生，种族	gener, genit
geo	地球，土地	ge
grad	走，步	gress
graph	写，画	gram
grat	感谢，愉快	grati
grav	重	grave
greg	群	gregat
hab	拥有，持有	hibit
hosp	客人，主人	host
hydr	水	hydro
ject	投，掷	jac
jud	判断，法律	jur, just
junct	连接	join
labor	劳动	labor
lect	选，读	leg, lig
lev	举起，轻	levi
liber	自由	liber
lingu	语言	lingua
liter	文字	litera
loc	地方	loco
log	言语，学科	logue, logy
loqu	说	locut
luc	光	lum, lus, lustr
lud	玩，戏	lus
magn	大	maj, max
man	手	manu
mar	海	marin
mater	母	matr
med	中间	medi
memor	记忆	memor
ment	思想，精神	ment
merg	浸，沉	mers
meter	测量	metr
migr	迁移	migrat
min	小	mini
mit	送，派	miss
mob	移动	mot, mov
mon	警告，提醒	monit
mor	死	mort
morph	形状	morpho
nat	出生	nasc, nat
neg	否定	negat
nom	名字，法则	nym
nov	新	nov
nounc	宣布	nunci
nutri	营养	nutrit
ocul	眼	ocul
oper	工作	oper
opt	选择	opin
ora	说，嘴	orat
ord	顺序，命令	ordin
pac	和平	peas
par	准备，显现	para
part	部分	parti
pass	感受，痛苦	pat, path
pater	父	patr
ped	脚	pod
pel	推，驱	puls
pend	悬挂，称重	pens
pet	追求	petit
phil	爱	philo
phob	恐惧	phobia
phon	声音	phono
photo	光	phot
plac	取悦，平静	plais
ple	满，填满	plen, plet
plic	折叠，重叠	ply, plex
pon	放置	pos, posit
popul	人民	publ
port	携带，运送	portat
pot	能力	poss
prehend	抓住	prehens
prim	第一	prin
priv	私人的，剥夺	priva
prob	证明，检验	prov
propri	自己的	proper
psych	心理，精神	psycho
punct	点，刺	pung
quir	寻求，问	quest, quisit
reg	统治，直	rect
rid	笑	ris
rog	问，要求	rogat
rupt	破	rupt
sacr	神圣	sanct
sal	跳	sult
sci	知道	scient
scop	看，观察	scope
scrib	写	script
sec	切	sect, seg
sed	坐	sess, sid
sembl	相似	simil, simul
sens	感觉	sent
sequ	跟随	secut, su
serv	服务，保持	servat
sign	记号	signi
sist	站，立	sta, stat, stit
soci	社会，同伴	social
sol	太阳	sol
soli	单独	sol
solv	解开	solu
somn	睡	somnus
son	声音	sono
soph	智慧	sophi
spec	看	spect, spic
sper	希望	sper
spir	呼吸，精神	spirit
string	拉紧	strict, strain
stru	建造	struct
sum	拿，消耗	sumpt
tach	接触	tact, tang, tag
tain	持有	ten, tent, tin
tect	覆盖	teg
tele	远	teleo
temp	时间	tempor
tend	伸展	tens, tent
termin	界限	termin
terr	土地	terra
test	证明	test
text	编织	textil
the	神	theo
therm	热	thermo
tort	扭	tors
tract	拉，拖	trah
trib	给予	tribut
trud	推	trus
turb	扰乱	turb
umbr	阴影	umbrell
urb	城市	urban
vac	空	van, void
vad	走	vas
val	价值，强	vail
ven	来	vent
ver	真实	veri
verb	词	verb
vert	转	vers
vest	衣服	vesti
vi	路	via, voy
vid	看	vis
vinc	征服	vict
viv	生命	vit
voc	叫，声音	vok
vol	意愿	volunt
volv	滚，转	volut
vor	吃	vor
zoo	动物	zoo
