word	letter	block	has_phonetic
sex	s	S-tail	no
sexual	s	S-tail	no
sexy	s	S-tail	no
shade	s	S-tail	no
shadow	s	S-tail	no
shady	s	S-tail	no
shaft	s	S-tail	no
shaky	s	S-tail	no
shallow	s	S-tail	no
shameful	s	S-tail	no
shameless	s	S-tail	no
shatter	s	S-tail	no
shave	s	S-tail	no
shaver	s	S-tail	no
shed	s	S-tail	no
sheer	s	S-tail	no
shell	s	S-tail	no
shelter	s	S-tail	no
shepherd	s	S-tail	no
shield	s	S-tail	no
shiny	s	S-tail	no
shipment	s	S-tail	no
shipping	s	S-tail	no
shipyard	s	S-tail	no
shit	s	S-tail	no
shiver	s	S-tail	no
shortcoming	s	S-tail	no
shorthand	s	S-tail	no
shortly	s	S-tail	no
shorts	s	S-tail	no
shove	s	S-tail	no
showcase	s	S-tail	no
showy	s	S-tail	no
shred	s	S-tail	no
shrewd	s	S-tail	no
shrimp	s	S-tail	no
shrink	s	S-tail	no
shrub	s	S-tail	no
shrubbery	s	S-tail	no
shrug	s	S-tail	no
shyly	s	S-tail	no
shyness	s	S-tail	no
sicken	s	S-tail	no
sideways	s	S-tail	no
siege	s	S-tail	no
sigh	s	S-tail	no
sight	s	S-tail	no
sightseeing	s	S-tail	no
signal	s	S-tail	no
signature	s	S-tail	no
significance	s	S-tail	no
signify	s	S-tail	no
silicon	s	S-tail	no
silky	s	S-tail	no
silver	s	S-tail	no
silvery	s	S-tail	no
similar	s	S-tail	no
simplicity	s	S-tail	no
simulate	s	S-tail	no
simulation	s	S-tail	no
simultaneous	s	S-tail	no
sin	s	S-tail	no
sincerity	s	S-tail	no
singular	s	S-tail	no
singularity	s	S-tail	no
sinister	s	S-tail	no
sip	s	S-tail	no
site	s	S-tail	no
sitting	s	S-tail	no
situate	s	S-tail	no
sizable	s	S-tail	no
skating	s	S-tail	no
skeleton	s	S-tail	no
skeptic	s	S-tail	no
skeptical	s	S-tail	no
skepticism	s	S-tail	no
sketch	s	S-tail	no
sketchy	s	S-tail	no
skiing	s	S-tail	no
skilful	s	S-tail	no
skill	s	S-tail	no
skilled	s	S-tail	no
skim	s	S-tail	no
skin	s	S-tail	no
skinny	s	S-tail	no
skull	s	S-tail	no
skyline	s	S-tail	no
skyscraper	s	S-tail	no
slack	s	S-tail	no
slam	s	S-tail	no
slap	s	S-tail	no
slash	s	S-tail	no
slaughter	s	S-tail	no
slave	s	S-tail	no
slavery	s	S-tail	no
sleepiness	s	S-tail	no
sleepy	s	S-tail	no
sleeve	s	S-tail	no
slender	s	S-tail	no
slide	s	S-tail	no
slight	s	S-tail	no
slightly	s	S-tail	no
slim	s	S-tail	no
slipper	s	S-tail	no
slippery	s	S-tail	no
slogan	s	S-tail	no
slope	s	S-tail	no
slot	s	S-tail	no
slum	s	S-tail	no
slump	s	S-tail	no
smartphone	s	S-tail	no
smash	s	S-tail	no
smelly	s	S-tail	no
smog	s	S-tail	no
smoggy	s	S-tail	no
smoky	s	S-tail	no
smuggle	s	S-tail	no
smuggler	s	S-tail	no
smuggling	s	S-tail	no
snail	s	S-tail	no
snap	s	S-tail	no
snatch	s	S-tail	no
sneak	s	S-tail	no
sniff	s	S-tail	no
snob	s	S-tail	no
snobbish	s	S-tail	no
snowy	s	S-tail	no
so-called	s	S-tail	no
