brittle	a.脆的；易损坏的
bronze	n.青铜；青铜制品
brood	n.同窝幼鸟 vt.孵(蛋)
brook	n.小河，溪流
broom	n.扫帚
brow	n.额；眉，眉毛
bruise	n.青肿，伤痕；擦伤
brute	n.禽兽，畜生
bulk	n.物体，容积，大批
bundle	n.捆，包，束；包袱
burden	n.担子，重担；装载量
bureau	n.局，司，处；社，所
butcher	n.屠夫；屠杀者
cabin	n.小屋；船舱，机舱
cabinet	n.橱，柜；内阁
cable	n.缆，索；电缆；电报
cafeteria	n.自助食堂
calculate	vt.计算；估计；计划
campaign	n.战役；运动
canal	n.运河；沟渠；管
cannon	n.大炮，火炮；榴弹炮
canoe	n.独木舟，皮艇，划子
canteen	n.小卖部；临时餐室
canvas	n.粗帆布；一块油画布
career	n.生涯，职业，经历
cargo	n.船货，货物
carpenter	n.木工，木匠
carriage	n.客车厢；四轮马车
carve	vt.刻，雕刻；切开
cassette	n.盒式录音带；盒子
cast	vt.投，扔，抛；浇铸
cathedral	n.总教堂；大教堂
ceiling	n.天花板，顶蓬
cellar	n.地窑，地下室
cement	n.水泥；胶泥 vt.粘结
ceremony	n.典礼，仪式；礼节
challenge	n.挑战；要求，需要
chamber	n.会议室；房间；腔
champion	n.冠军，得胜者
channel	n.海峡；渠道；频道
character	n.性格；特性；角色
characteristic	a.特有的 n.特性
charge	vt.索价；控告 n.费用
charity	n.施舍；慈善事业
chart	n.图，图表；海图
chase	n.追逐，追赶，追求
chemical	a.化学的 n.化学制品
chemist	n.化学家；药剂师
cheque	n.支票
chill	vt.使变冷 n.寒冷
choke	vt.使窒息；塞满
Christian	n.基督教徒；信徒
cigarette	n.香烟，纸烟，卷烟
classify	vt.把…分类
clue	n.线索，暗示，提示
clumsy	a.笨拙的；愚笨的
code	n.准则；法典；代码
collision	n.碰撞；冲突
colony	n.殖民地；侨居地
column	n.柱，支柱，圆柱
combination	n.结合,联合;化合
combine	vt.使结合；兼有
communicate	vi.通讯;传达;传播
communication	n.通讯;传达；交通
community	n.社区；社会；公社
companion	n.同伴;共事者;伴侣
complain	vi.抱怨，拆苦；控告
compress	vt.压紧，压缩
conceal	vt.把…隐藏起来
concentrate	vt.集中；聚集；浓缩
confess	vt.供认，承认；坦白
conflict	n.争论；冲突；斗争
consider	vt.认为；考虑；关心
considerable	a.相当大的;重要的
considerate	a.考虑周到的；体谅的
consult	vt.请教，查阅
contempt	n.轻蔑；藐视；受辱
contrary	a.相反的 n.相反
contrast	n.对比，对照，悬殊
control	vt.控制，克制 n.控制
cope	vi.对付，应付
core	n.果实的心，核心
correspond	vi.相符合；相当
council	n.理事会，委员会
couple	n.夫妇；(一)对；几个
court	n.法院，法庭；庭院
crack	n.裂缝，裂纹 vi.爆裂
craft	n.工艺；手艺，行业
crash	vi.碰撞，坠落 n.碰撞
crush	vt.压碎，碾碎；镇压
cultivate	vt.耕；种植；培养
culture	n.文化，文明；教养
curve	n.曲线；弯 vt.弄弯
custom	n.习惯，风俗；海关
dawn	n.黎明；开端 vi.破晓
debate	n.&vi.争论，辩论
debt	n.债，债务，欠债
decade	n.十年，十年期
decent	a.正派的；体面的
decorate	vt.装饰，装璜，修饰
delay	vt.推迟；耽搁；延误
delete	vt.删除；擦掉
delicate	a.纤细的；易碎的
delight	n.快乐 vt.使高兴
dense	a.密集的；浓厚的
depress	vt.使沮丧；按下
derive	vt.取得 vi.起源
descend	vi.下来，下降；下倾
desirable	a.值得相望的；可取的
desire	vt.相望；要求 n.愿望
detail	n.细节；枝节；零件
develop	vt.发展；形成；开发
development	n.发展;开发；生长
devote	vt.将…奉献，致力于
digest	vt.消化；领会 n.文摘
disable	vt.使无能，使伤残
discard	vt.丢弃，抛弃，遗弃
discharge	vt.释放；排出 n.释放
discipline	n.纪律；训练 vt.训练
disguise	vi.隐瞒，掩埋 n.假装
