recall	2			
receipt	1	cap		
receive	2	cap		
receiver	2	cap		
recent	2			
recently	2			
reception	1	cap		
recite	1	cit		
recognition	1	cogn		
recognize	2	cogn		
recollect	1	lect		
recommend	2			
recommendation	1			
record	2			
recorder	1			
recover	2			
recovery	1			
red	3			
reduce	2	duc		
reduction	1	duc		
reed	1			
reel	1			
refer	2	fer		
reference	1	fer		
refine	1	fin		
reflect	2	flect		
reflection	1	flect		
reflexion	1	flect		
reform	1	form		
refresh	1			
refreshment	1			
refrigerator	2			
refuge	1	fug		
refusal	1	fus		
refuse	2	fus		
refute	1			
regard	2			
regarding	1			
regardless	1			
region	2	reg		
register	1			
regret	2			
regular	2	reg		
regularly	2	reg		
regulate	1	reg		
regulation	1	reg		
rehearsal	1			
reign	1	reg		
rein	1			
reinforce	1	fort		
reject	2	ject		
rejoice	1			
relate	2			
relation	2			
relationship	2			
relative	2			
relatively	1			
relativity	1			
relax	2			
release	2			
relevant	1	lev		
reliability	1			
reliable	1			
reliance	1			
relief	1	lev		
relieve	1	lev		
religion	2			
religious	2			
reluctant	1			
rely	2			
remain	2			
remains	2			
remark	1			
remarkable	1			
remedy	1			
remember	2	memor		
remind	2			
remote	1	mob		
removal	1	mob		
remove	2	mob		
render	1			
renew	1			
rent	2			
repair	2	par		
repeat	2	pet		
repeatedly	1	pet		
repent	1			
repetition	1	pet		
replace	2			
reply	2	plic		
report	2	port		
reporter	2	port		
represent	2			
representative	1			
reproach	1			
reproduce	1	duc		
republic	1	popul		
republican	1	popul		
reputation	1			
request	2	quir		
require	2	quir		
requirement	1	quir		
rescue	2			
research	2			
researcher	2			
resemble	1	sembl		
reserve	1	serv		
reservoir	1	serv		
residence	1	sed		
resident	1	sed		
resign	1	sign		
resignation	1	sign		
resist	1	sist		
resistance	1	sist		
resistant	1	sist		
resolution	1	solv		
resolve	1	solv		
resort	1			
resource	1			
respect	2	spec		
respectful	1	spec		
respective	1	spec		
respectively	1	spec		
respond	1			
response	2			
responsibility	1			
responsible	2			
rest	3			
restaurant	2			
restless	1			
restore	1			
restrain	1	string		
restraint	1	string		
restrict	1	string		
restriction	1	string		
result	2	sal		
resume	1	sum		
retain	1	tain		
retell	2			
retire	2			
retreat	1			
return	2			
reveal	1			
revenge	1			
reverse	1	vert		
review	2	vid		
revise	1	vid		
revolt	1	volv		
revolution	2	volv		
revolutionary	1	volv		
reward	2			
rhythm	2			
rib	2			
ribbon	2			
rice	3			
rich	3			
rid	3			
riddle	2			
ride	3			
rider	2			
ridge	1			
ridiculous	2	rid		
rifle	1			
right	3			
rigid	1	reg		
ring	3			
ripe	2			
ripen	1			
rise	3			
risk	2			
rival	1			
river	3			
road	3			
roar	2			
roast	2			
rob	3			
